_id,Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude
11,Roads and bridges,"Agriculture, Food and Rural Affairs","Brudenell, Lyndoch and Raglan",Letterkenny Road Rehabilitation,Complete,Mar-18,Rehabilitation of Letterkenny Road.,Increased Traffic Safety,Renfrew,East,Letterkenny Road,K0J 2G0,,1710000,Yes,Yes,,,,45.360237,-77.419511
12,Roads and bridges,"Agriculture, Food and Rural Affairs",Burpee and Mills,Reconstruction and Rehabilitation of Union Road,Complete,Oct-19,"Widening of Union Road, including culvert replacement and realignment.",Increased traffic safety,Manitoulin,Northeast,,P0P 1E0,,235569,Yes,Yes,,,,45.770947,-82.559432
13,Roads and bridges,"Agriculture, Food and Rural Affairs",Calvin,Replacement of the Hackenbrook Bridge,Complete,Oct-18,Replacement of Hackenbrook Bridge including road widening.,Increased traffic safety,Nipissing,Northeast,,P0H 1V0,,430000,Yes,Yes,,,,46.242336,-78.918591
14,Roads and bridges,"Agriculture, Food and Rural Affairs",Carlow-Mayo,Boulter Road Rehabilitation,Complete,Sep-18,Rehabilitation of Boulter Road.,Increased Traffic Safety,Hastings,East,Whytes Rd / Boulter Rd,K0L 1G0,,1900000,Yes,Yes,,,,45.229297,-77.644761
15,Roads and bridges,"Agriculture, Food and Rural Affairs",Casey,Belanger Bridge Replacement,Complete,Nov-18,Replacement of the Belanger Bridge.,Increased traffic safety,Timiskaming,Northeast,Wright Creek Rd 3,P0J 1A0,,1780200,Yes,Yes,,,,47.638706,-79.557595
16,Roads and bridges,"Agriculture, Food and Rural Affairs",Central Huron,"Water, Wastewater, Stormwater, and Road Infrastructure Rehabilitation",Complete,Nov-19,"Rehabilitation of water, wastewater, stormwater and road infrastructure on William Street, Townsend Street, and Kirk Street in the town of Clinton.",Increased traffic safety,Huron,Southwest,,N0M 1L0,,1209809,Yes,Yes,,,,43.614244,-81.535466
17,Roads and bridges,"Agriculture, Food and Rural Affairs",Centre Wellington,Bridge No. 27-WG Replacement,Complete,Jun-18,Replacement of Bridge No. 27-WG.,Increased Traffic Safety,Wellington,Southwest,Sideroad 20,,,646346,Yes,Yes,,,,43.814086,-80.388503
18,Roads and bridges,"Agriculture, Food and Rural Affairs",Chamberlain,Replacement of Bailey Bridge,Complete,Nov-19,Replacement of the Bailey Bridge on Chamberlain Road 5.,Increased traffic safety,Timiskaming,Northeast,,P0J 1H0,,665600,Yes,Yes,,,,47.89876,-79.94849
19,Roads and bridges,"Agriculture, Food and Rural Affairs",Chapple,Ahrens Bridge Replacement,Complete,Oct-19,Replacement of the Ahrens Bridge and reconstructino of approaches on Sturgeon Creek Road between Barwick Road and Hwy 71.,Increased traffic safety,Rainy River,Northwest,,P0W 1A0,,894768,Yes,Yes,,,,48.70684,-93.957584
20,Roads and bridges,"Agriculture, Food and Rural Affairs",Chatham-Kent,Fifth Street Bridge Rehabilitation,Complete,Jun-18,Rehabilitation of the Fifth Street Bridge.,Increased Traffic Safety,Chatham-Kent,Southwest,Fifth St,,,2000000,Yes,Yes,,,,42.406578,-82.18573
21,Roads and bridges,"Agriculture, Food and Rural Affairs",Chisholm,Replacement of River Road Bridge No. 4,Complete,Oct-19,Replacement of River Road Bridge No. 4 with a new two lane bridge.,Increased traffic safety,Nipissing,Northeast,,P0H 1Z0,,680935,Yes,Yes,,,,46.155844,-79.247524
22,Roads and bridges,"Agriculture, Food and Rural Affairs",Clarington,Reconstruction of Leskard Road Guide Rails,Complete,May-18,Installation of a steel beam guide rail on Leskard Road.,Increased Traffic Safety,Durham,Central,Leskard Road,L0B 1M0,,17110,Yes,Yes,,,,44.004184,-78.638166
23,Roads and bridges,"Agriculture, Food and Rural Affairs",Cobourg,Harden St bridge rehabilitation,Complete,Feb-18,Rehabilitation of the Harden Street Bridge.,Increased Traffic Safety,Northumberland,East,Harden St,,,216172,Yes,Yes,Yes,,,43.963704,-78.183894
24,Roads and bridges,"Agriculture, Food and Rural Affairs",Collingwood,Hume Street Reconstruction,Complete,Jan-17,"Includes improvements to roadway pavement, turning lanes, traffic signals and drainage facilities, as well as associated water and wastewater work","Reduced potential for ground contamination and flooding, enhanced fire protection, traffic flow, emergency response times, hospital access and pedestrian safety",Simcoe,Central,Hume St,L9Y 1V4,,2000000,Yes,Yes,Yes,,,,
25,Roads and bridges,"Agriculture, Food and Rural Affairs",Cornwall,Ninth St. / Marleau Ave. widening and reconstruction ,Complete,Oct-17,Reconstruction of Marlborough Street to Alice Street and widening of Ninth Street to Marleau Avenue.,Increased Traffic Safety,"Stormont, Dundas and Glengarry",East,Marleau Avenue,K6H 2V7,,1666000,Yes,Yes,Yes,,,45.032,-74.721
26,Roads and bridges,"Agriculture, Food and Rural Affairs",Dorion,Replacement of Ouimet Canyon Road Bridge over Coldwater Creek,Complete,Jul-19,Replacement of Ouimet Canyon Road Bridge over Coldwater Creek with a steel multi-plate arch culvert.,Increased traffic safety,Thunder Bay,Northwest,,P0T 1K0,,1328400,Yes,Yes,,,,48.762585,-88.605097
27,Roads and bridges,"Agriculture, Food and Rural Affairs",Douro-Dummer,Twelfth Line Road Dummer Improvements,Complete,Jun-19,Improvements to Twelfth Line Road.,Increased Traffic Safety,Peterborough,East,Twelfth Line Road Dummer RR2,K0L 2V0,,830897,Yes,Yes,,,,44.425123,-77.942626
28,Roads and bridges,"Agriculture, Food and Rural Affairs",Dutton-Dunwich,Replacement of the Homestead Bridge,Complete,Jul-19,Replacement of Homestead Bridge to meet new regulations as required.,Increased traffic safety,Elgin,Southwest,,N0L 2P0,,642743,Yes,Yes,,,,42.676375,-81.383774
29,Roads and bridges,"Agriculture, Food and Rural Affairs",Dysart et al,Rehabilitation of the Oblong Lake Narrows Bridge,Complete,Nov-18,"Rehabilitation of Oblong Lake Narrows Bridge, including new barriers/railings.",Increased traffic safety,Haliburton,East,,K0M 1S0,,649789,Yes,Yes,,,,45.17807,-78.423782
30,Roads and bridges,"Agriculture, Food and Rural Affairs",East Ferris,Reconstruction of MacPherson Drive,Complete,Aug-18,"Reconstruction of MacPherson Drive, from Centennial Crescent to the end of MacPherson Drive.",Increased traffic safety,Nipissing,Northeast,,P0H 1K0,,708521,Yes,Yes,,,,46.30816,-79.28736
31,Roads and bridges,"Agriculture, Food and Rural Affairs",East Garafraxa,Improvements to Bridge No. 7 on the 12th Line,Complete,Dec-19,Replacement or rehabilitation of Bridge No. 7 on the 12th Line over the Grand River. ,Increased traffic safety,Dufferin,Central,,,,1900000,Yes,Yes,,,,43.852029,-80.283856
32,Roads and bridges,"Agriculture, Food and Rural Affairs",East Hawkesbury,Grande Montee Road Reconstruction,Complete,Dec-17,Reconstruction of Grande Montee Road.,Increased Traffic Safety,Prescott and Russell,East,Grande Montee Road,K0B 1B0,,1087393,Yes,Yes,,,,45.496221,-74.412858
33,Roads and bridges,"Agriculture, Food and Rural Affairs",Elgin County,Miller Road Reconstruction,Complete,Oct-17,"Reconstruction of Miller Road, including installation of a new watermain and new sewers.",Increased Traffic Safety,Elgin,Southwest,Miller Road,N0J 1Y0,,2353314,Yes,Yes,,,,42.665163,-81.511572
34,Roads and bridges,"Agriculture, Food and Rural Affairs",Erin,Hillsburgh Dam Bridge Reconstruction,Under construction,2020,Construction of a new bridge over Hillsburgh Dam on Station Street.,Increased traffic safety,Wellington,Southwest,,N0B 1Z0,,1576988,Yes,Yes,,,,43.78718,-80.14203
35,Roads and bridges,"Agriculture, Food and Rural Affairs",Erin,Hillsburgh Dam Bridge Reconstruction,Complete,Sep-20,Construction of a new bridge over Hillsburgh Dam on Station Street.,Increased Traffic Safety,Wellington,Southwest,,N0B 1Z0,,1576988,Yes,Yes,,,,43.78718,-80.14203
36,Roads and bridges,"Agriculture, Food and Rural Affairs",Fort Frances,Colonization Road East Reconstruction,Complete,Mar-18,Watermain replacement and road reconstruction,"Along with roadwork, watermains, sanitary and storm sewers all upgraded",Rainy River,Northwest,Colonization Rd E,P9A 1P5,,1896046,Yes,Yes,Yes,,,,
37,Roads and bridges,"Agriculture, Food and Rural Affairs",Gananoque,Replacement of the Hudson Bridge,Complete,Oct-19,"Replacement of the Hudson Bridge, including abutment rehabilitation.",Increased traffic safety,Leeds and Grenville,East,,K7G 2T6,,1404531,Yes,Yes,,,,44.330756,-76.167613
38,Roads and bridges,"Agriculture, Food and Rural Affairs",Greater Madawaska,Reconstruction of Barrett Chute Road,Complete,Oct-19,"Reconstruction of Barrett Chute Road, including alignment improvements.",Increased traffic safety,Renfrew,East,,K0J 1H0,,1248410,Yes,Yes,,,,45.271084,-76.775635
39,Roads and bridges,"Agriculture, Food and Rural Affairs",Greater Sudbury,Maley Drive Extension ,Under construction,2021,Maley Drive Extension ,,Sudbury,Northeast,Maley Drive,,,53400000,Yes,Yes,Yes,,https://www.greatersudbury.ca/live/transportation-parking-and-roads/roads/maley-drive-extension/ ,,
40,Roads and bridges,"Agriculture, Food and Rural Affairs",Havelock-Belmont-Methuen,Removal of Keating Road Bridge,Complete,Jan-18,Removal of the Keating Road Bridge.,Increased Traffic Safety,Peterborough,East,Keating Rd,,,210643,Yes,Yes,,,,44.4907,-77.9003
41,Roads and bridges,"Agriculture, Food and Rural Affairs",Hilliard,Veley Road Bridge #2 Replacement,Complete,May-18,Replacement of the Veley Road Bridge #2.,Increased Traffic Safety,Timiskaming,Northeast,"Veley Rd, RR 3",P0J 1S0,,1604250,Yes,Yes,,,,47.725931,-79.666635
42,Roads and bridges,"Agriculture, Food and Rural Affairs",Horton,Rehabilitation and Reconstruction of Johnston Road,Complete,Dec-18,Rehabilitation of Johnston Road.,Increased Traffic Safety,Renfrew,East,"Johnston Rd, RR 5",K7S 3V4,,636365,Yes,Yes,,,,45.510723,-76.663596
43,Roads and bridges,"Agriculture, Food and Rural Affairs",Howick,Salem Road Culvert Replacement,Complete,Sep-17,Replacement of the Salem Road culvert.,Increased Traffic Safety,Huron,Southwest,Salem Road,N0G 2X0,,205200,Yes,Yes,,,,43.920249,-81.0601
44,Roads and bridges,"Agriculture, Food and Rural Affairs",Ignace,West Beach Drive Rehabilitation,Complete,Dec-18,Rehabilitation of West Beach Drive.,Increased Traffic Safety,Kenora,Northwest,West Beach Drive,P0T 1T0,,912510,Yes,Yes,,,,49.416477,-91.693505
45,Roads and bridges,"Agriculture, Food and Rural Affairs",Jocelyn,10th Side Road Guard Rails Installation,Complete,Oct-18,Installation of guard rails on 10th Side Road.,Increased Traffic Safety,Algoma,Northeast,10th Side Road / Hilton Rd,P0R 1G0,,99000,Yes,Yes,,,,46.217341,-83.973841
46,Roads and bridges,"Agriculture, Food and Rural Affairs",Johnson,Black Creek Bridge Replacement,Complete,Aug-19,Replacement of Black Creek Bridge.,Increased traffic safety,Algoma,Northeast,Gordon Lake Road,P0R 1E0,,625500,Yes,Yes,,,,46.36933,-83.861059
47,Roads and bridges,"Agriculture, Food and Rural Affairs",Kerns,Seymour Bridge Replacement,Complete,Oct-18,Replacement of Seymour Bridge.,Increased traffic safety,Timiskaming,Northeast,905417 Highland Rd 1,P0J 1P0,,1138500,Yes,Yes,,,,47.595259,-79.815333
48,Roads and bridges,"Agriculture, Food and Rural Affairs",Kingsville,Park Street Road Reconstruction,Complete,Nov-18,Replacement of Park Street.,Increased traffic safety,Essex,Southwest,Park Street,N9Y IN5,,937082,Yes,Yes,,,,42.028534,-82.736036
49,Roads and bridges,"Agriculture, Food and Rural Affairs",Laird,Lapish Bridge Replacement,Complete,Nov-18,Replacement of Lapish Bridge.,Increased traffic safety,Algoma,Northeast,Lapish Road,P0S 1C0,,1080000,Yes,Yes,,,,46.434165,-84.025714
50,Roads and bridges,"Agriculture, Food and Rural Affairs",Lakeshore,West River Street Corridor Project,Complete,Aug-19,Rehabilitation of West River Street and intersection improvements at Notre Dame and West River Street.,Increased Traffic Safety,Essex,Southwest,West River Street,N0R 1A0,,485037,Yes,Yes,,,,42.293343,-82.713641
51,Roads and bridges,"Agriculture, Food and Rural Affairs",Lanark Highlands,Replacement of the Galbraith Bridge Superstructure,Complete,Oct-18,Replacement of Galbraith Bridge.,Increased traffic safety,Lanark,East,,,,495000,Yes,Yes,,,,45.181494,-76.373429
52,Roads and bridges,"Agriculture, Food and Rural Affairs",Limerick,Steenburg Lake North Road Rehabilitation,Complete,Nov-17,Rehabilitation of Steenburg Lake North Road.,Increased Traffic Safety,Hastings,East,Steenburg Lake North Road,,,1524874,Yes,Yes,,,,44.833877,-77.683547
53,Roads and bridges,"Agriculture, Food and Rural Affairs",Limerick,Rehabilitation of St. Ola Road,Complete,Oct-19,"Rehabilitation of St. Ola Road, from Highway 62 to east of Wadsworth Lake Lane.",Increased traffic safety,Hastings,East,,K0L 1W0,,1895940,Yes,Yes,,,,44.853016,-77.602433
54,Roads and bridges,"Agriculture, Food and Rural Affairs","Macdonald, Meredith and Aberdeen Add'l",Tuira Bridge Replacement,Complete,Oct-19,Replacement of Tuira Bridge.,Increased traffic safety,Algoma,Northeast,,P0S 1C0,,594000,Yes,Yes,,,,46.456242,-83.97607
55,Roads and bridges,"Agriculture, Food and Rural Affairs",Machin,Reconstruction of Townline Road,Complete,Sep-19,Reconstruction of Townline Road from Cascade Road to Evergreen Road.,Increased traffic safety,Kenora,Northwest,,,,1020170,Yes,Yes,,,,49.76765,-93.205397
56,Roads and bridges,"Agriculture, Food and Rural Affairs",Madawaska Valley,Old Barry’s Bay Road Rehabilitation ,Complete,Sep-18,"Rehabilitation of Old Barry’s Bay Road, from County Road 62 north for approximately 10 km.",Increased traffic safety,Renfrew,East,,,,1706056,Yes,Yes,,,,45.438257,-77.594966
57,Roads and bridges,"Agriculture, Food and Rural Affairs",Madoc,Rehabilitation of Queensborough Road,Complete,Sep-19,"Rehabilitation of Queensborough Road, from Cooper Road to the eastern municipal boundary.",Increased traffic safety,Hastings,East,,K0K 2K0,,1900000,Yes,Yes,,,,44.583214,-77.444717
58,Roads and bridges,"Agriculture, Food and Rural Affairs",Malahide,Broadway Street Bridge,Complete,Oct-17,Replacement of the Broadway Street Bridge.,Increased Traffic Safety,Elgin,Southwest,Broadway Street,,,410000,Yes,Yes,,,,42.829072,-80.93271
59,Roads and bridges,"Agriculture, Food and Rural Affairs",Mapleton,Sideroad 17 Bridge Replacement,Complete,Nov-18,Bridge replacement on Sideroad 17.,Increased Traffic Safety,Wellington,Southwest,Sideroad 17,N0G 1P0,,1268561,Yes,Yes,,,,43.664856,-80.689265
60,Roads and bridges,"Agriculture, Food and Rural Affairs",Markstay-Warren,Main Street Bridge Rehabilitation,Complete,Dec-17,Rehabilitation of the Main Street Bridge.,Increased Traffic Safety,Sudbury,Northeast,Main St South,,,593189,Yes,Yes,,,,46.456577,-80.415545
61,Roads and bridges,"Agriculture, Food and Rural Affairs",Markstay-Warren,Road and Storm Sewer Improvements on Pioneer and Main,Complete,Sep-19,"Reconstruction of Main Street between Hawthorne Street and Pioneer Street, and on Pioneer Street between Highway 17 and Millichamp Street, including road and storm sewer improvements.",Increased traffic safety,Sudbury,Northeast,,P0M 2G0,,1900000,Yes,Yes,,,,46.493614,-80.542521
62,Roads and bridges,"Agriculture, Food and Rural Affairs",Marmora and Lake,Don Shannon's Bridge Rehabilitation,Complete,Oct-17,Rehabilitation of the Don Shannon's Bridge.,Increased Traffic Safety,Hastings,East,Cordova Road,,,677722,Yes,Yes,,,,44.50192,-77.701515
63,Roads and bridges,"Agriculture, Food and Rural Affairs",Mattice-Val Côté,Reconstruction of Shallow Lake Road,Complete,Nov-19,Reconstruction of Shallow Lake Road including replacement of culverts.,Increased traffic safety,Cochrane,Northeast,,P0L 1T0,,1683900,Yes,Yes,,,,49.618761,-83.278287
64,Roads and bridges,"Agriculture, Food and Rural Affairs",McDougall,Lorimar Lake Road Reconstruction,Complete,Nov-18,Reconstruction of Lorimer Lake Road beginning at Bunny Trail Road.,Increased traffic safety,Parry Sound,Northeast,,P2A 2W9,,1091952,Yes,Yes,,,,45.493821,-79.996962
65,Roads and bridges,"Agriculture, Food and Rural Affairs",McKellar,Burnett's Road Reconstruction,Complete,Sep-18,Reconstruction of Burnett's Road and Wendy's Lane.,Increased Traffic Safety,Parry Sound,Northeast,Burnett’s Rd / Wendy’s Ln,P0G 1C0,,1126800,Yes,Yes,,,,45.436585,-79.898715
66,Roads and bridges,"Agriculture, Food and Rural Affairs",McMurrich-Monteith,Replacement of Axe Lake Road Bridge,Complete,Apr-19,"Replacement of Axe Lake Road Bridge, including installation of new steel beam guiderails.",Increased traffic safety,Parry Sound,Northeast,,P0A 1Y0,,361757,Yes,Yes,,,,45.3786,-79.58015
67,Roads and bridges,"Agriculture, Food and Rural Affairs",McNab-Braeside,McLachlan Road Rehabilitation,Complete,Sep-18,"Reconstruction of McLachlan Road, including the McLeod Road intersection, including upgrade of road safety features.",Increased traffic safety,Renfrew,East,,,,900000,Yes,Yes,,,,45.395,-76.543
68,Roads and bridges,"Agriculture, Food and Rural Affairs",Minto,Elora Street Reconstruction,Complete,Jan-17,Road reconstruction,"Aging water pipes and stormwater sewers replaced, along with associated roadwork",Wellington,Southwest,Elora St,N0G 1Z0,,1014608,Yes,Yes,Yes,,,,
69,Roads and bridges,"Agriculture, Food and Rural Affairs",Montague,Rehabilitation of Matheson Drive,Complete,Sep-19,"Rehabilitation of Matheson Drive, from the western municipal boundary to Rosedale Road South.",Increased traffic safety,Lanark,East,,,,1885408,Yes,Yes,,,,44.905095,-76.007715
70,Roads and bridges,"Agriculture, Food and Rural Affairs",Mulmur,Replacement of Bridge 20,Complete,Nov-17,Replacement of Bridge #20.,Increased Traffic Safety,Dufferin,Central,17 Sideroad,L9V 0G8,,723319,Yes,Yes,,,,44.202675,-80.05196
71,Roads and bridges,"Agriculture, Food and Rural Affairs",Nairn and Hyman,Reconstruction of McCharles Street,Complete,Oct-18,Reconstruction of McCharles Street from Spencer Street to Smith Street.,Increased traffic safety,Middlesex,Northeast,,P0M 2L0,,741060,Yes,Yes,,,,46.328286,-81.581982
72,Roads and bridges,"Agriculture, Food and Rural Affairs",New Tecumseth,Deadman Bridge Rehabilitation,Complete,May-18,"Upgrades to Deadman Bridge, including restoration of existing concrete deck topping, installation of new deck expansion joints, replaced safety grates, repairs to bottoms of box girders and installation of steel beam guiderails on the bridge approaches",Increased traffic safety and flow,Simcoe,Central,10th Side Rd,L0G 1A0,,758590,Yes,Yes,,,,44.107768,-79.78957
73,Roads and bridges,"Agriculture, Food and Rural Affairs",New Tecumseth,14th Line Road Reconstruction,Complete,Nov-18,Reconstruction of 14th Line westward from the 15th Sideroad. ,Increased traffic safety,Simcoe,Central,,L0G 1A0,,249178,Yes,Yes,,,,44.158984,-79.773183
74,Roads and bridges,"Agriculture, Food and Rural Affairs",Newbury,"Road, Drainage and Sidewalk Improvements in Newbury",Complete,Nov-19,"Resurfacing of Queen Street, York Street, Coltsfoot Drive, Broadway Street, Tucker Street and Dundas Street, and culvert replacement on Dundas Street.",Increased traffic safety,Middlesex,Southwest,,N0L 1Z0,,1900000,Yes,Yes,,,,42.685066,-81.800778
75,Roads and bridges,"Agriculture, Food and Rural Affairs",Nigigoonsiminikaaning First Nation,Watermain Extension and Emergency Access Road,Complete,Jul-17,Reconstructing emergency access roads,"Built-up and resurfaced road at water crossings, new box culverts and stormwater management drains",Rainy River,Northwest,Emergency Access Road,P9A 3M5,,220000,,Yes,Yes,Yes,,48.7084,-92.944351
76,Roads and bridges,"Agriculture, Food and Rural Affairs",North Frontenac,Rehabilitation of Head Road Bridge,Complete,Sep-17,Rehabilitation of Head Road Bridge.,Increased Traffic Safety,Frontenac,East,Head Rd,,,301500,Yes,Yes,,,,44.850237,-77.16913
77,Roads and bridges,"Agriculture, Food and Rural Affairs",North Perth,Reconstruction of Road 165,Complete,Oct-18,"Reconstruction of North Perth Road 165, from Perth Line 86 north to Line 87.",Increased Traffic Safety,Perth,Southwest,Road 165,,,679285,Yes,Yes,,,,43.73978,-80.972794
78,Roads and bridges,"Agriculture, Food and Rural Affairs",Opasatika,Reconstruction of Seven Streets in Opasatika,Complete,Aug-19,Reconstruction of seven streets including installation of a storm sewer system.,Increased traffic safety,Cochrane,Northeast,,P0L 1Z0,,1073855,Yes,Yes,,,,49.52851,-82.875983
79,Roads and bridges,"Agriculture, Food and Rural Affairs",Orillia,Old Barrie Road East and Highway 11 Ramp Improvements,Complete,Mar-18,"Includes realignment of the roads, extension of the off-ramp, creation of a new signal-controlled intersection and the addition of a dedicated left turn lane off Highway 11","Reduced number of turns and delays through the intersection, which will decrease vehicle emissions",Simcoe,Central,Old Barrie Rd E,L3V 6H1,,1574250,Yes,Yes,Yes,,,44.589139,-79.446612
80,Roads and bridges,"Agriculture, Food and Rural Affairs",Orillia,Rehabilitation  of Highway 12 from West Ridge Blvd to Highway 11,Complete,Oct-18,Road-widening and addition of various turns ,"Increased traffic safety and flow, including pedestrians and cyclists",Simcoe,Central,Highway 12,L3V 7W7,,2000000,Yes,Yes,,,,44.611421,-79.450874
81,Roads and bridges,"Agriculture, Food and Rural Affairs",Owen Sound,3rd Avenue East/Grey Rd 15 Reconstruction and  Sanitary Sewer Upgrades ,Complete,Nov-18,"Reconstruction of 3rd Avenue East/Grey Road 15, including replacement of existing distribution watermain.",Increased traffic safety,Grey,Southwest,,,,314861,Yes,Yes,,,,44.583415,-80.932039
82,Roads and bridges,"Agriculture, Food and Rural Affairs",Papineau-Cameron,Cameron Road Bridge,Complete,Oct-17,Replacement of  Bridge #4 on Cameron Road.,Increased Traffic Safety,Nipissing,Northeast,Cameron Road,P0H 1V0,,114779,Yes,Yes,,,,46.29201,-78.58573
83,Roads and bridges,"Agriculture, Food and Rural Affairs",Parry Sound,"Isabella Street Water, Wastewater and Road Reconstruction",Complete,Aug-19,Reconstruction of Isabella Street from William Street to Tudhope Street.,Increased traffic safety,Parry Sound,Northeast,,P2A 1B4,,760065,Yes,Yes,,,,45.357788,-80.021483
84,Roads and bridges,"Agriculture, Food and Rural Affairs",Penetanguishene,Champlain Road Rehabilitation (Robbs Road to Town Limits),Complete,Feb-18,"Upgrading Champlain Road, from Robbs Road to the Town Limits, including ditching, culvert installation, asphalt gutters and spillways ","Improved drainage, restored boulevard, new bike lanes and signage",Simcoe,Central,Champlain Rd,L9M 1S2,,1075000,Yes,Yes,,,,,
85,Roads and bridges,"Agriculture, Food and Rural Affairs",Plummer Additional,Jeffery Bridge Replacement,Complete,Aug-18,Replacement of Jeffery Bridge.,Increased traffic safety,Algoma,Northeast,Jeffery Road,P0R 1C0,,346500,Yes,Yes,,,,46.318027,-83.727513
86,Roads and bridges,"Agriculture, Food and Rural Affairs",Port Hope,Barrett Street Bailey Bridge Replacement,Complete,Oct-17,Replacement of the Barrett Street Bailey Bridge.,Increased Traffic Safety,Northumberland,East,Barrett Street,,,921946,Yes,Yes,,,,43.954055,-78.295315
87,Roads and bridges,"Agriculture, Food and Rural Affairs",Powassan,Main Street North Road Rehabilitation,Complete,Nov-19,Rehabilitation of Main Street North from Valleyview Drive East to the north Powassan limit.,Increased traffic safety,Parry Sound,Northeast,,P0H 1Z0,,1409831,Yes,Yes,,,,46.090472,-79.364167
88,Roads and bridges,"Agriculture, Food and Rural Affairs",Prince,Prince Lake Road Curve and Hill Rehabilitation,Complete,Jul-18,Rehabilitation of Prince Lake Road.,Increased Traffic Safety,Algoma,Northeast,Prince Lake Road,P6A 6K4,,411990,Yes,Yes,,,,46.535123,-84.524336
89,Roads and bridges,"Agriculture, Food and Rural Affairs",Renfrew,Barnet Boulevard Rehabilitation,Complete,Dec-18,Rehabilitation of Barnet Boulevard.,Increased traffic safety,Renfrew,East,Barnet Boulevard,K7V 1B7,,1027028,Yes,Yes,,,,45.463795,-76.669481
90,Roads and bridges,"Agriculture, Food and Rural Affairs",Sables-Spanish Rivers,Emiry Road Bridge Replacement,Complete,Jan-18,Replacement of the Emiry Road Bridge.,Increased Traffic Safety,Sudbury,Northeast,Emiry Road,,,1085081,Yes,Yes,,,,46.200856,-82.024429
91,Roads and bridges,"Agriculture, Food and Rural Affairs",Scugog,Scugog Line 6 Reconstruction,Complete,Sep-18,Reconstruction of Scugog Line 6. ,Access to water service and increased traffic safety,Durham,Central,Scugog Line 6,,,3061804,Yes,Yes,Yes,,,44.090949,-78.987506
92,Roads and bridges,"Agriculture, Food and Rural Affairs",Scugog,River Street (Seagrave) Bridge Repairs,Complete,Jun-19,Repair of the bridge on River Street over the Nonquon River in the Village of Seagrave.,Increased traffic safety,Durham,Central,,,,945585,Yes,Yes,,,,44.200255,-78.949429
